codigo,nome,nome_cientifico,Energia (kcal),Umidade (g),Carboidrato total (g),Proteína (g),Lipídios (g),Fibra alimentar (g),Álcool (g),Cinzas (g),Colesterol (mg),Ácidos graxos saturados (g),Ácidos graxos monoinsaturados (g),Ácidos graxos poliinsaturados (g),Ácidos graxos trans (g),Cálcio (mg),Ferro (mg),Sódio (mg),Magnésio (mg),Fósforo (mg),Potássio (mg),Zinco (mg),Cobre (mg),Selênio (mcg),Vitamina A (RE) (mcg),Vitamina A (RAE) (mcg),Vitamina D (mcg),Alfa-tocoferol (Vitamina E) (mg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B6 (mg),Vitamina B12 (mcg),Vitamina C (mg),Equivalente de folato (mcg),Sal de adição (g),Açúcar de adição (g),codigo_FoodOn
C0061T,"Acarajé, s/ sal", ,271 kcal,50.5 g,19.1 g,8.35 g,19.9 g,9.36 g,nan g,2.15 g,25.5 mg,9.10 g,7.80 g,2.10 g,nan g,124 mg,1.93 mg,304 mg,51.1 mg,141 mg,353 mg,1.19 mg,0.23 mg,nan mcg,nan mcg,nan mcg,nan mcg,nan mg,0.06 mg,tr mg,tr mg,tr mg,nan mcg,nan mg,nan mcg,nan g,0.00 g,
C0212B,"Acelga, cozida, drenada, s/ óleo, c/ sal", ,22 kcal,93.4 g,4.07 g,1.47 g,0.11 g,1.14 g,0.00 g,0.97 g,0.00 mg,0.02 g,0.02 g,0.04 g,0.00 g,41.7 mg,0.21 mg,128 mg,6.37 mg,36.7 mg,122 mg,0.23 mg,0.10 mg,0.73 mcg,69.2 mcg,34.6 mcg,0.00 mcg,1.02 mg,0.03 mg,tr mg,tr mg,0.10 mg,0.00 mcg,9.20 mg,3.78 mcg,0.32 g,0.00 g,
C0211B,"Acelga, cozida, drenada, s/ óleo, s/ sal", ,22 kcal,93.4 g,4.39 g,1.47 g,0.11 g,1.14 g,0.00 g,0.65 g,0.00 mg,0.02 g,0.02 g,0.04 g,0.00 g,41.7 mg,0.21 mg,0.90 mg,6.36 mg,36.7 mg,122 mg,0.23 mg,0.10 mg,0.73 mcg,69.2 mcg,34.6 mcg,0.00 mcg,1.02 mg,0.03 mg,tr mg,tr mg,0.10 mg,0.00 mcg,9.20 mg,3.78 mcg,0.00 g,0.00 g,
C0007B,"Acelga, crua", ,23 kcal,93.2 g,4.63 g,1.44 g,0.11 g,1.12 g,0.00 g,0.63 g,0.00 mg,0.02 g,0.02 g,0.04 g,0.00 g,43.0 mg,0.27 mg,1.18 mg,10.4 mg,40.0 mg,239 mg,0.31 mg,0.10 mg,0.84 mcg,324 mcg,162 mcg,0.00 mcg,1.00 mg,0.04 mg,tr mg,tr mg,0.16 mg,0.00 mcg,22.5 mg,7.42 mcg,0.00 g,0.00 g,
C0202B,"Acelga, refogada (c/ óleo, cebola e alho), c/ sal", ,35 kcal,91.4 g,4.73 g,1.60 g,1.31 g,1.26 g,0.00 g,0.99 g,0.00 mg,0.20 g,0.30 g,0.76 g,0.00 g,43.9 mg,0.29 mg,129 mg,11.2 mg,43.7 mg,255 mg,0.32 mg,0.11 mg,0.83 mcg,67.8 mcg,33.9 mcg,0.00 mcg,1.16 mg,0.04 mg,tr mg,tr mg,0.15 mg,0.00 mcg,14.0 mg,5.89 mcg,0.32 g,0.00 g,
C0201B,"Acelga, refogada, (c/ óleo, cebola e alho), s/ sal", ,36 kcal,91.4 g,5.05 g,1.60 g,1.31 g,1.26 g,0.00 g,0.67 g,0.00 mg,0.20 g,0.30 g,0.76 g,0.00 g,43.8 mg,0.29 mg,1.28 mg,11.2 mg,43.7 mg,255 mg,0.32 mg,0.11 mg,0.82 mcg,67.8 mcg,33.9 mcg,0.00 mcg,1.16 mg,0.04 mg,tr mg,tr mg,0.15 mg,0.00 mcg,14.0 mg,5.89 mcg,0.00 g,0.00 g,
C0004C,"Acerola, madura, polpa",malpighia spp. ,30 kcal,91.7 g,6.89 g,0.71 g,0.38 g,1.75 g,0.00 g,0.34 g,0.00 mg,0.09 g,0.10 g,0.11 g,0.00 g,36.8 mg,tr mg,0.67 mg,10.9 mg,21.4 mg,138 mg,0.11 mg,0.05 mg,0.58 mcg,207 mcg,103 mcg,0.00 mcg,nan mg,tr mg,0.07 mg,0.69 mg,tr mg,0.00 mcg,1505 mg,13.6 mcg,0.00 g,0.00 g,
C0129K,"Achocolatado,  ""Ovomaltine""", ,373 kcal,1.43 g,93.3 g,0.00 g,0.00 g,0.00 g,0.00 g,5.24 g,0.00 mg,0.00 g,0.00 g,0.00 g,0.00 g,909 mg,16.4 mg,636 mg,0.00 mg,0.00 mg,0.00 mg,13.6 mg,1.82 mg,0.00 mcg,1365 mcg,1365 mcg,9.10 mcg,12.3 mg,1.36 mg,0.00 mg,18.2 mg,1.82 mg,0.00 mcg,54.5 mg,0.00 mcg,nan g,nan g,
C0002K,"Achocolatado, em pó", ,390 kcal,1.90 g,88.2 g,5.00 g,3.00 g,5.00 g,0.00 g,1.90 g,tr mg,1.52 g,0.83 g,0.42 g,0.01 g,44.0 mg,5.32 mg,64.3 mg,76.1 mg,198 mg,492 mg,1.03 mg,0.56 mg,nan mcg,nan mcg,nan mcg,0.00 mcg,0.14 mg,1.37 mg,1.01 mg,4.95 mg,1.51 mg,0.35 mcg,tr mg,5.96 mcg,nan g,nan g,
C0001K,"Achocolatado, em pó (média diferentes amostras)", ,397 kcal,0.70 g,91.6 g,4.07 g,2.89 g,5.96 g,0.00 g,0.78 g,0.00 mg,1.47 g,0.80 g,0.40 g,0.01 g,44.6 mg,5.38 mg,65.1 mg,77.1 mg,200 mg,498 mg,1.04 mg,0.56 mg,2.70 mcg,795 mcg,795 mcg,0.00 mcg,0.14 mg,1.39 mg,1.02 mg,5.01 mg,1.53 mg,0.00 mcg,tr mg,6.05 mcg,nan g,nan g,
C0101N,"Achocolatado, em pó, sem adição de açúcar", ,362 kcal,3.40 g,71.9 g,15.5 g,3.00 g,7.50 g,0.00 g,6.18 g,0.00 mg,1.78 g,0.98 g,0.09 g,nan g,576 mg,4.96 mg,876 mg,208 mg,893 mg,2702 mg,3.44 mg,0.73 mg,16.9 mcg,4.00 mcg,4.00 mcg,0.00 mcg,0.04 mg,0.27 mg,1.40 mg,1.08 mg,0.32 mg,1.18 mcg,0.00 mg,14.0 mcg,0.00 g,0.00 g,
C0004K,Açúcar (média de diferentes tipos), ,395 kcal,0.81 g,98.3 g,0.35 g,0.02 g,nan g,0.00 g,0.49 g,0.00 mg,0.00 g,0.00 g,0.00 g,nan g,45.9 mg,2.17 mg,12.5 mg,27.2 mg,12.7 mg,176 mg,0.16 mg,0.06 mg,nan mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,tr mg,0.03 mg,tr mg,tr mg,0.00 mcg,tr mg,0.00 mcg,0.00 g,100.0 g,
C0005K,"Açúcar, cristal", ,400 kcal,0.05 g,99.6 g,0.32 g,tr g,0.00 g,0.00 g,tr g,0.00 mg,0.00 g,0.00 g,0.00 g,0.00 g,7.59 mg,0.16 mg,tr mg,1.01 mg,tr mg,2.56 mg,tr mg,tr mg,0.60 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mg,0.00 mcg,0.00 g,100.0 g,
C0704N,"Açúcar, light (20% sacarose + edulcorante)", ,80 kcal,0.60 g,19.9 g,0.03 g,tr g,0.00 g,0.00 g,0.10 g,nan mg,0.00 g,0.00 g,0.00 g,0.00 g,9.20 mg,0.43 mg,2.44 mg,5.44 mg,2.54 mg,55.2 mg,tr mg,tr mg,0.12 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mg,0.00 mcg,20.0 g,0.00 g,
C0703N,"Açúcar, light (50% sacarose ou maltodextrina + edulcorante)", ,198 kcal,0.80 g,49.4 g,0.08 g,tr g,0.00 g,0.00 g,0.25 g,nan mg,0.00 g,0.00 g,0.00 g,0.00 g,23.0 mg,1.08 mg,6.20 mg,13.6 mg,6.30 mg,88.0 mg,tr mg,tr mg,0.30 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mg,0.00 mcg,50.0 g,0.00 g,
C0006K,"Açúcar, mascavo", ,382 kcal,3.32 g,94.4 g,0.76 g,0.09 g,0.00 g,0.00 g,1.38 g,0.00 mg,0.00 g,0.00 g,0.00 g,0.00 g,126 mg,8.30 mg,25.2 mg,79.9 mg,38.2 mg,521 mg,0.48 mg,0.17 mg,1.20 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 mg,0.11 mg,0.04 mg,0.00 mcg,0.00 mg,0.98 mcg,0.00 g,100.0 g,
C0007K,"Açúcar, refinado (média de diferentes amostras)", ,397 kcal,0.23 g,99.0 g,0.16 g,tr g,0.00 g,0.00 g,0.58 g,0.00 mg,0.00 g,0.00 g,0.00 g,0.00 g,3.50 mg,0.11 mg,12.2 mg,0.55 mg,tr mg,6.35 mg,tr mg,tr mg,0.60 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mg,0.00 mcg,0.00 g,100.0 g,
C0090N,"Adoçante, aspartame, em pó", ,365 kcal,8.75 g,89.1 g,2.17 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 mg,0.00 g,0.00 g,0.00 g,0.00 g,0.00 mg,0.04 mg,0.00 mg,0.00 mg,0.00 mg,4.00 mg,0.01 mg,0.00 mg,0.50 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mg,0.00 mcg,nan g,nan g,
C0042N,"Adoçante, sacarina, em pó", ,360 kcal,8.75 g,90.1 g,0.00 g,0.00 g,0.00 g,0.00 g,1.20 g,0.00 mg,0.00 g,0.00 g,0.00 g,0.00 g,0.00 mg,0.04 mg,428 mg,0.00 mg,0.00 mg,4.00 mg,0.01 mg,0.00 mg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mg,0.00 mcg,0.00 g,0.00 g,
C0056N,"Adoçante, sucralose, em pó", ,365 kcal,8.83 g,91.2 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 mg,0.00 g,0.00 g,0.00 g,0.00 g,0.00 mg,0.04 mg,0.00 mg,0.00 mg,0.00 mg,4.00 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mg,0.00 mcg,0.00 g,0.00 g,
C0220B,"Agrião, cozido, drenado, c/ óleo de soja, c/ sal", ,47 kcal,89.3 g,2.88 g,3.54 g,2.88 g,2.22 g,0.00 g,1.41 g,0.00 mg,0.50 g,0.60 g,1.61 g,0.00 g,138 mg,1.68 mg,136 mg,16.2 mg,60.5 mg,136 mg,0.64 mg,0.16 mg,0.20 mcg,484 mcg,242 mcg,0.00 mcg,5.32 mg,0.09 mg,0.20 mg,1.03 mg,0.08 mg,0.00 mcg,32.0 mg,7.41 mcg,0.32 g,0.00 g,
C0219B,"Agrião, cozido, drenado, c/ óleo de soja, s/ sal", ,47 kcal,89.6 g,2.89 g,3.55 g,2.89 g,2.23 g,0.00 g,1.10 g,0.00 mg,0.50 g,0.60 g,1.61 g,0.00 g,138 mg,1.69 mg,9.03 mg,16.2 mg,60.7 mg,137 mg,0.64 mg,0.16 mg,0.20 mcg,485 mcg,242 mcg,0.00 mcg,5.34 mg,0.09 mg,0.20 mg,1.03 mg,0.08 mg,0.00 mcg,32.1 mg,7.44 mcg,0.00 g,0.00 g,
C0914B,"Agrião, cozido, drenado, s/ óleo, c/ sal", ,26 kcal,91.5 g,2.95 g,3.63 g,0.51 g,2.27 g,0.00 g,1.44 g,0.00 mg,0.14 g,0.04 g,0.18 g,0.00 g,141 mg,1.72 mg,137 mg,16.6 mg,62.0 mg,140 mg,0.66 mg,0.15 mg,0.21 mcg,463 mcg,231 mcg,0.00 mcg,5.16 mg,0.09 mg,0.20 mg,1.06 mg,0.08 mg,0.00 mcg,32.7 mg,7.59 mcg,0.32 g,0.00 g,
C0162B,"Agrião, cozido, drenado, s/ óleo, s/ sal",nasturtium officinale ,27 kcal,91.8 g,2.96 g,3.64 g,0.52 g,2.28 g,0.00 g,1.12 g,0.00 mg,0.14 g,0.04 g,0.18 g,0.00 g,141 mg,1.73 mg,9.26 mg,16.6 mg,62.2 mg,140 mg,0.66 mg,0.15 mg,0.21 mcg,465 mcg,232 mcg,0.00 mcg,5.18 mg,0.09 mg,0.20 mg,1.06 mg,0.08 mg,0.00 mcg,32.8 mg,7.62 mcg,0.00 g,0.00 g,
C0008B,"Agrião, cru",nasturtium officinale ,23 kcal,92.8 g,2.58 g,3.17 g,0.45 g,1.98 g,0.00 g,0.98 g,0.00 mg,0.12 g,0.04 g,0.16 g,0.00 g,129 mg,2.00 mg,10.7 mg,24.1 mg,60.1 mg,244 mg,0.76 mg,0.14 mg,0.20 mcg,449 mcg,224 mcg,0.00 mcg,4.50 mg,0.13 mg,0.27 mg,1.42 mg,0.11 mg,0.00 mcg,71.4 mg,13.3 mcg,0.00 g,0.00 g,
C0214B,"Aipo (salsão), cozido, drenado, s/ óleo, c/ sal", ,19 kcal,93.2 g,4.38 g,0.83 g,0.08 g,1.05 g,0.00 g,1.50 g,0.00 mg,0.02 g,0.01 g,0.04 g,0.00 g,68.2 mg,0.60 mg,135 mg,5.85 mg,27.8 mg,150 mg,0.12 mg,0.33 mg,0.54 mcg,904 mcg,452 mcg,0.00 mcg,0.12 mg,tr mg,tr mg,tr mg,0.13 mg,0.00 mcg,2.59 mg,26.7 mcg,0.32 g,0.00 g,
C0213B,"Aipo (salsão), cozido, drenado, s/ óleo, s/ sal",apium graveolens ,21 kcal,93.2 g,4.70 g,0.83 g,0.08 g,1.05 g,0.00 g,1.18 g,0.00 mg,0.02 g,0.01 g,0.04 g,0.00 g,68.2 mg,0.59 mg,7.85 mg,5.85 mg,27.8 mg,150 mg,0.12 mg,0.33 mg,0.53 mcg,904 mcg,452 mcg,0.00 mcg,0.12 mg,tr mg,tr mg,tr mg,0.13 mg,0.00 mcg,2.59 mg,26.7 mcg,0.00 g,0.00 g,
C0065B,"Aipo (salsão), cru",apium graveolens l.,19 kcal,93.8 g,4.27 g,0.76 g,0.07 g,0.96 g,0.00 g,1.07 g,0.00 mg,0.02 g,0.01 g,0.03 g,0.00 g,65.2 mg,0.72 mg,9.52 mg,8.86 mg,28.0 mg,273 mg,0.14 mg,0.31 mg,0.54 mcg,913 mcg,456 mcg,0.00 mcg,0.11 mg,tr mg,tr mg,tr mg,0.18 mg,0.00 mcg,5.88 mg,48.6 mcg,0.00 g,0.00 g,
C0216B,"Aipo (salsão), refogado (c/ óleo, cebola e alho), c/ sal", ,42 kcal,88.3 g,7.05 g,1.33 g,1.32 g,1.62 g,0.00 g,2.02 g,0.00 mg,0.21 g,0.28 g,0.77 g,0.00 g,102 mg,1.14 mg,142 mg,14.6 mg,47.2 mg,439 mg,0.24 mg,0.50 mg,0.87 mcg,1274 mcg,637 mcg,0.00 mcg,0.33 mg,tr mg,tr mg,tr mg,0.26 mg,0.00 mcg,5.92 mg,53.4 mcg,0.32 g,0.00 g,
C0215B,"Aipo (salsão), refogado (c/ óleo, cebola e alho), s/ sal", ,43 kcal,88.3 g,7.37 g,1.33 g,1.32 g,1.62 g,0.00 g,1.70 g,0.00 mg,0.21 g,0.28 g,0.77 g,0.00 g,101 mg,1.14 mg,14.8 mg,14.6 mg,47.2 mg,439 mg,0.24 mg,0.50 mg,0.87 mcg,1274 mcg,637 mcg,0.00 mcg,0.33 mg,tr mg,tr mg,tr mg,0.26 mg,0.00 mcg,5.92 mg,53.4 mcg,0.00 g,0.00 g,
C1128B,"Alcachofra, assada, c/ azeite de oliva, pimenta do reino, c/ sal", ,80 kcal,80.1 g,11.3 g,3.47 g,3.64 g,5.75 g,0.00 g,1.52 g,nan mg,0.56 g,2.55 g,0.46 g,0.00 g,47.4 mg,1.39 mg,227 mg,63.7 mg,95.4 mg,390 mg,0.52 mg,0.25 mg,0.22 mcg,1.90 mcg,1.00 mcg,0.00 mcg,0.68 mg,0.07 mg,0.07 mg,1.06 mg,0.11 mg,0.00 mcg,10.5 mg,71.8 mcg,0.00 g,0.32 g,
C1127B,"Alcachofra, assada, s/ óleo, c/ sal", ,50 kcal,83.1 g,11.6 g,3.59 g,0.16 g,5.92 g,0.00 g,1.56 g,nan mg,0.04 g,0.01 g,0.07 g,0.00 g,48.3 mg,1.40 mg,230 mg,65.8 mg,98.7 mg,405 mg,0.54 mg,0.25 mg,0.22 mcg,1.97 mcg,0.99 mcg,0.00 mcg,0.21 mg,0.07 mg,0.07 mg,1.09 mg,0.11 mg,0.00 mcg,10.9 mg,74.6 mcg,0.00 g,0.32 g,
C0915B,"Alcachofra, cozida, drenada, s/ óleo, c/ sal",cynara scolymus ,51 kcal,83.8 g,11.9 g,2.88 g,0.34 g,5.68 g,0.00 g,1.06 g,0.00 mg,0.08 g,0.01 g,0.14 g,0.00 g,21.0 mg,0.61 mg,187 mg,41.9 mg,72.8 mg,285 mg,0.60 mg,0.13 mg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.19 mg,0.05 mg,0.09 mg,1.11 mg,0.08 mg,0.00 mcg,7.38 mg,88.7 mcg,0.32 g,0.00 g,
C0460B,"Alcachofra, cozida, drenada, s/ sal",cynara scolymus ,51 kcal,84.1 g,11.9 g,2.89 g,0.34 g,5.70 g,0.00 g,0.74 g,0.00 mg,0.08 g,0.01 g,0.14 g,0.00 g,21.0 mg,0.61 mg,60.0 mg,42.0 mg,73.0 mg,286 mg,0.60 mg,0.23 mg,0.20 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.19 mg,0.05 mg,0.09 mg,1.11 mg,0.08 mg,0.00 mcg,7.40 mg,89.0 mcg,0.00 g,0.00 g,
C1117B,"Alcachofra, crua",cynara cardunculus var. scolymus,46 kcal,84.9 g,10.6 g,3.27 g,0.15 g,5.40 g,0.00 g,1.13 g,nan mg,0.04 g,0.01 g,0.06 g,0.00 g,44.0 mg,1.28 mg,94.0 mg,60.0 mg,90.0 mg,370 mg,0.49 mg,0.23 mg,0.20 mcg,2.00 mcg,1.00 mcg,0.00 mcg,0.19 mg,0.07 mg,0.07 mg,1.05 mg,0.12 mg,0.00 mcg,11.7 mg,68.0 mcg,0.00 g,0.00 g,
C0703B,"Alcaparra, conserva, drenada",capparis spinosa ,37 kcal,83.9 g,4.89 g,2.36 g,0.86 g,0.00 g,0.00 g,8.04 g,0.00 mg,0.23 g,0.06 g,0.30 g,0.00 g,40.0 mg,1.67 mg,2348 mg,33.0 mg,10.00 mg,40.0 mg,0.32 mg,0.37 mg,1.20 mcg,nan mcg,7.00 mcg,0.00 mcg,0.88 mg,0.02 mg,0.14 mg,0.65 mg,0.02 mg,0.00 mcg,4.30 mg,23.0 mcg,nan g,nan g,
C0824B,"Alecrim, seco",rosmarinus officinalis ,328 kcal,9.31 g,64.1 g,4.88 g,15.2 g,42.6 g,0.00 g,6.53 g,0.00 mg,7.37 g,3.01 g,2.34 g,0.00 g,1280 mg,29.3 mg,50.0 mg,220 mg,70.0 mg,955 mg,3.23 mg,0.55 mg,4.60 mcg,nan mcg,156 mcg,0.00 mcg,nan mg,0.51 mg,0.43 mg,1.00 mg,1.74 mg,0.00 mcg,61.2 mg,307 mcg,0.00 g,0.00 g,
C0226K,Aletria doce, ,153 kcal,69.1 g,20.9 g,3.42 g,5.94 g,0.51 g,0.41 g,0.62 g,nan mg,3.01 g,1.83 g,0.39 g,0.08 g,84.0 mg,0.57 mg,42.9 mg,10.2 mg,80.6 mg,116 mg,0.49 mg,0.03 mg,5.26 mcg,82.4 mcg,81.5 mcg,1.08 mcg,0.97 mg,0.04 mg,0.16 mg,1.10 mg,tr mg,0.33 mcg,0.41 mg,23.9 mcg,12.0 g,0.00 g,
C0063B,"Alface, americana, crua",lactuca sativa l.,6 kcal,97.7 g,1.50 g,0.41 g,0.11 g,1.24 g,0.00 g,0.28 g,0.00 mg,0.02 g,tr g,0.06 g,0.00 g,11.7 mg,0.22 mg,5.93 mg,4.65 mg,15.7 mg,110 mg,0.18 mg,0.02 mg,0.20 mcg,317 mcg,158 mcg,0.00 mcg,0.13 mg,0.02 mg,tr mg,tr mg,0.03 mg,0.00 mcg,8.89 mg,13.3 mcg,0.00 g,0.00 g,3411390.0
C0060B,"Alface, crespa, crua",lactuca sativa l.,10 kcal,96.1 g,1.70 g,1.35 g,0.16 g,1.83 g,0.00 g,0.70 g,0.00 mg,0.02 g,tr g,0.09 g,0.00 g,38.0 mg,0.40 mg,3.38 mg,11.0 mg,25.8 mg,267 mg,0.25 mg,0.03 mg,0.20 mcg,329 mcg,164 mcg,0.00 mcg,0.23 mg,0.11 mg,0.12 mg,1.09 mg,tr mg,0.00 mcg,15.6 mg,29.6 mcg,0.00 g,0.00 g,3411390.0
C0009B,"Alface, crua",lactuca sativa l.,9 kcal,96.4 g,1.79 g,1.08 g,0.12 g,1.87 g,0.00 g,0.56 g,0.00 mg,0.02 g,tr g,0.08 g,0.00 g,37.5 mg,0.75 mg,4.20 mg,12.7 mg,26.0 mg,311 mg,0.29 mg,0.03 mg,0.20 mcg,364 mcg,182 mcg,0.00 mcg,0.18 mg,0.10 mg,0.10 mg,0.92 mg,0.04 mg,0.00 mcg,18.5 mg,26.9 mcg,0.00 g,0.00 g,3411390.0
C0061B,"Alface, lisa, crua",lactuca sativa l.,13 kcal,95.0 g,2.43 g,1.69 g,0.12 g,2.33 g,0.00 g,0.76 g,0.00 mg,0.02 g,tr g,0.07 g,0.00 g,27.5 mg,0.61 mg,4.23 mg,9.11 mg,26.1 mg,348 mg,0.35 mg,0.03 mg,0.20 mcg,380 mcg,190 mcg,0.00 mcg,0.18 mg,0.09 mg,0.08 mg,0.75 mg,0.07 mg,0.00 mcg,21.4 mg,37.8 mcg,0.00 g,0.00 g,3411390.0
C0062B,"Alface, roxa, crua",lactuca sativa l.,11 kcal,95.7 g,2.49 g,0.91 g,0.19 g,2.01 g,0.00 g,0.68 g,0.00 mg,0.01 g,tr g,0.06 g,0.00 g,33.8 mg,2.48 mg,7.12 mg,9.31 mg,51.1 mg,308 mg,0.23 mg,0.04 mg,0.20 mcg,311 mcg,155 mcg,0.00 mcg,0.13 mg,tr mg,tr mg,tr mg,tr mg,0.00 mcg,13.5 mg,35.3 mcg,0.00 g,0.00 g,3411390.0
C0067B,"Alfavaca, crua",ocimum basilicum l.,28 kcal,90.2 g,5.24 g,2.66 g,0.48 g,4.14 g,0.00 g,1.42 g,0.00 mg,0.16 g,tr g,0.32 g,0.00 g,258 mg,1.26 mg,4.55 mg,84.2 mg,49.7 mg,260 mg,0.71 mg,0.15 mg,0.37 mcg,1037 mcg,518 mcg,0.00 mcg,0.60 mg,tr mg,0.12 mg,tr mg,0.56 mg,0.00 mcg,tr mg,83.9 mcg,0.00 g,0.00 g,
C1061B,"Alga, ágar ágar, em pó", ,336 kcal,8.68 g,80.9 g,6.21 g,0.30 g,7.70 g,0.00 g,3.93 g,0.00 mg,0.06 g,0.03 g,0.10 g,0.00 g,625 mg,21.4 mg,102 mg,770 mg,52.0 mg,1125 mg,5.80 mg,0.61 mg,7.40 mcg,0.00 mcg,0.00 mcg,0.00 mcg,5.00 mg,0.01 mg,0.22 mg,0.20 mg,0.30 mg,0.00 mcg,0.00 mg,0.00 mcg,0.00 g,0.00 g,
C0222K,"Algodão, doce", ,402 kcal,0.02 g,99.7 g,0.00 g,0.32 g,0.00 g,0.00 g,0.00 g,nan mg,0.00 g,0.00 g,0.00 g,0.00 g,1.00 mg,0.05 mg,1.00 mg,0.00 mg,0.00 mg,2.00 mg,0.01 mg,0.01 mg,0.60 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.02 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mg,0.00 mcg,nan g,nan g,
C0115B,"Alho, cozido, s/ óleo, s/ sal",allium sativum ,121 kcal,67.1 g,25.8 g,5.70 g,0.20 g,3.19 g,0.00 g,1.28 g,0.00 mg,0.04 g,0.00 g,0.10 g,0.00 g,13.7 mg,0.81 mg,5.43 mg,21.5 mg,150 mg,541 mg,0.83 mg,0.15 mg,2.24 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.98 mg,0.17 mg,tr mg,tr mg,0.40 mg,0.00 mcg,21.1 mg,1.67 mcg,0.00 g,0.00 g,
C0010B,"Alho, cru",allium sativum l.,121 kcal,67.1 g,25.8 g,5.70 g,0.20 g,3.19 g,0.00 g,1.28 g,0.00 mg,0.04 g,tr g,0.10 g,0.00 g,13.7 mg,0.81 mg,5.43 mg,21.5 mg,150 mg,541 mg,0.83 mg,0.15 mg,2.24 mcg,tr mcg,tr mcg,0.00 mcg,0.98 mg,0.19 mg,tr mg,tr mg,0.45 mg,0.00 mcg,24.8 mg,2.38 mcg,0.00 g,0.00 g,
C1074B,"Alho, em pó",allium sativum l.,346 kcal,6.45 g,72.7 g,16.6 g,0.73 g,9.00 g,0.00 g,3.54 g,0.00 mg,0.25 g,0.12 g,0.18 g,0.00 g,79.0 mg,5.65 mg,60.0 mg,77.0 mg,414 mg,1193 mg,2.99 mg,0.53 mg,23.9 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.67 mg,0.44 mg,0.14 mg,0.80 mg,1.65 mg,0.00 mcg,1.20 mg,47.0 mcg,0.00 g,0.00 g,
C0113B,"Alho, refogado (c/ óleo de soja), s/ sal",allium sativum ,433 kcal,24.2 g,36.6 g,8.09 g,29.3 g,4.54 g,0.00 g,1.82 g,0.00 mg,4.46 g,6.76 g,17.5 g,0.00 g,19.5 mg,1.17 mg,7.70 mg,30.6 mg,214 mg,768 mg,1.18 mg,0.30 mg,3.18 mcg,0.00 mcg,0.00 mcg,0.00 mcg,4.91 mg,0.24 mg,tr mg,tr mg,0.57 mg,0.00 mcg,29.9 mg,2.37 mcg,0.00 g,0.00 g,
C0714B,"Alho-poró, cozido, drenado, s/ óleo, s/ sal",allium ampeloprasum l. var. porrum,34 kcal,90.8 g,7.62 g,0.81 g,0.20 g,1.00 g,0.00 g,0.57 g,0.00 mg,0.03 g,0.00 g,0.11 g,nan g,30.0 mg,1.10 mg,10.00 mg,14.0 mg,17.0 mg,87.0 mg,0.06 mg,0.06 mg,0.50 mcg,nan mcg,41.0 mcg,0.00 mcg,0.50 mg,0.03 mg,0.02 mg,0.20 mg,0.11 mg,0.00 mcg,4.20 mg,24.0 mcg,0.00 g,0.00 g,
C0068B,"Alho-poró, cru",allium ampeloprasum l. var. porrum,29 kcal,91.0 g,6.88 g,1.41 g,0.14 g,2.51 g,0.00 g,0.62 g,0.00 mg,0.02 g,tr g,0.08 g,0.00 g,33.6 mg,0.64 mg,1.76 mg,10.7 mg,36.5 mg,224 mg,0.24 mg,0.29 mg,0.53 mcg,16.2 mcg,8.08 mcg,0.00 mcg,0.43 mg,0.06 mg,tr mg,0.34 mg,0.08 mg,0.00 mcg,14.1 mg,34.1 mcg,0.00 g,0.00 g,
